Parcel(s),Building Name,Building Address,Postal Code,Full.Address,Floor Area,Property Type - Self Selected,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
0028/009,SFOFW,1250 COLUMBUS AVE,94133,"1250 COLUMBUS AVE
San Francisco, CA 94133
(37.805552, -122.417773)",204392,Hotel,http://propertymap.sfplanning.org/?&search=0028/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,78,61,136.6,-25.2,-25.2,802.7,4.4,61.9,137.5,76,59.5,134.2,-23.3,-23.3,844.9,4.1,59.5,134.2,68,61.8,143.4,-16.3,-16.3,889,4.3,61.8,143.4,63,75.4,156.2,-11.9,-11.9,1032.7,5.1,75.4,156.2,63,87.8,179.2,-11.8,,1252.9,,88.2,180.7,61,82.6,,-9.6,,1216.52,,81.7,
0287/008,201 Kearny St / 212 Sutter St,201 KEARNY ST,94108,"201 KEARNY ST
San Francisco, CA 94108
(37.789991, -122.403888)",11600,Office,http://propertymap.sfplanning.org/?&search=0287/008,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,48.5,88.1,-40.5,-40.5,36.8,3.2,55.5,95.4,,50.2,93.8,-36.7,-36.7,37.4,3.2,54.8,98.5,,51.8,98.3,-33.6,-33.6,38.8,3.3,59.4,106.2,,61.2,108.8,-26.5,-26.5,46.3,4,61.8,109.5,,,,,,,,,,,,,,,,,,
0266/001,First Republic Bank Building,111 PINE ST,94111,"111 PINE ST
San Francisco, CA 94111
(37.792382, -122.398962)",247000,Office,http://propertymap.sfplanning.org/?&search=0266/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,92,57.9,152.8,-46.9,-46.9,1125,4.6,59.8,154.8,92,58,159.6,-46.4,-46.4,1092.6,4.4,59.1,160.7,92,58.2,160.4,-46.3,-46.3,1096.9,4.4,60.1,162.4,89,63.7,171.2,-42.8,-42.8,1285.2,5.1,63.9,171.4,85,70.7,198.5,-36.3,,1433.72,,70.1,197.8,80,72.9,,-31.3,,1468.3,,72.1,
0287/010,250 Sutter,250 SUTTER ST,94108,"250 SUTTER ST
San Francisco, CA 94108
(37.789694, -122.404803)",55522,Office,http://propertymap.sfplanning.org/?&search=0287/010,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,91,33.4,92.4,-47.5,-47.5,149.8,2.7,35.4,94.4,92,31.2,88.7,-47.8,-47.8,134.1,2.4,31.9,89.5,77,35.6,100.8,-28.4,-28.4,152.9,2.8,37.5,102.8,65,40.7,110.2,-16.7,-16.7,179.9,3.1,41,110.3,70,37.9,105.3,-21.7,-21.7,169.7,2.9,37.3,104.6,81,36.7,,-33.7,,179.36,,34.4,
0315/001,Gunst Building,301 GEARY ST,94102,"301 GEARY ST
San Francisco, CA 94102
(37.787329, -122.408503)",50993,Office,http://propertymap.sfplanning.org/?&search=0315/001,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,2012-11-15T00:00:00,Did Not Comply,,,95,38.8,75.4,-53.8,-53.8,133.5,2.6,42.2,79.7,95,37.6,75,-53.9,-53.9,126.5,2.5,39.9,77.6,94,36.4,74.3,-53.4,-53.4,123.5,2.4,39.5,78.5,92,44.6,86.8,-48.5,-48.5,148.6,2.9,43,85.1,87,31.7,106,-40.9,,146.99,,31.7,106,,,,,,,,,
0271/012,564 BUSH ST,564 BUSH ST,94108,"564 BUSH ST
San Francisco, CA 94108
(37.790455, -122.406536)",14150,,http://propertymap.sfplanning.org/?&search=0271/012,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0030/012,Petco Building,2598 TAYLOR ST,94133,"2598 TAYLOR ST
San Francisco, CA 94133
(37.806354, -122.415442)",14400,,http://propertymap.sfplanning.org/?&search=0030/012,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,8.7,26.7,-76.7,-76.7,10.1,0.7,8.7,26.7,,27.2,84.6,-64.4,-64.4,34.2,2.4,27.2,84.6,,,,,,,,,,,,,,,,,,
3536/001,Safeway 1507,2020 MARKET ST,94114,"2020 MARKET ST
San Francisco, CA 94114
(37.768701, -122.427535)",124196,Supermarket/Grocery Store,http://propertymap.sfplanning.org/?&search=3536/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,37,216.2,551.5,8,8,1072.6,16.7,216.2,551.5,23,254.8,614.2,19.7,19.7,1171.5,18.2,257.3,613.6,34,220.5,562.4,10.7,10.7,1040.7,16.2,224.8,560.4,36,236.3,578.5,8.8,8.8,1094.2,17,230.7,572.6,70,194,463.3,-12.9,-12.9,888.2,13.8,187.5,456.4,44,242.2,,3.9,,1228.03,,246.6,
0347/004,220 MCALLISTER ST,220 MCALLISTER ST,94102,"220 MCALLISTER ST
San Francisco, CA 94102
(37.780641, -122.415906)",23262,,http://propertymap.sfplanning.org/?&search=0347/004,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448/045,5200 Geary Blvd.,5200 GEARY BLVD,94118,"5200 GEARY BLVD
San Francisco, CA 94118
(37.780572, -122.475642)",78958,Retail Store,http://propertymap.sfplanning.org/?&search=1448/045,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Complied,,,17,97.1,282,50.7,50.7,349.6,8.1,97.1,282,18,93.3,274.8,47.2,47.2,319.4,7.4,93.3,274.8,44,66.8,194.5,6.1,6.1,227.4,5.2,66.8,194.5,46,70.4,202.2,4.1,4.1,237.9,5.5,70.4,202.2,64,70.5,213.8,-15.4,,262.53,,70.6,213.9,64,70.6,,-16.2,,261.96,,70.6,
0686/034,Soko Hardware,1672 POST ST,94115,"1672 POST ST
San Francisco, CA 94115
(37.785673, -122.429251)",18000,Retail Store,http://propertymap.sfplanning.org/?&search=0686/034,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,22.6,66.5,-46,-46,34,1.9,22.6,66.5,,21.7,67.7,-45,-45,31.7,1.8,21.4,66.7,,21.2,66.1,-46.3,-46.3,31,1.7,20.6,64.1,,21.4,65.1,-47.1,-47.1,30.9,1.7,21.2,64.9,,,,,,,,,,,,,,,,,,
0227/011,640 Sacramento Street,640 SACRAMENTO ST,94111,"640 SACRAMENTO ST
San Francisco, CA 94111
(37.793699, -122.403661)",28051,Office,http://propertymap.sfplanning.org/?&search=0227/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2014-04-01T00:00:00,Exempt - ENERGY STAR,,,30,129.2,225.4,23.1,23.1,233,8.3,129.2,225.4,29,121.4,218.8,25.3,25.3,215.7,7.7,122.8,220.2,27,120.1,219,27.5,27.5,214.4,7.6,120.1,219,19,132.2,251.1,42.5,42.5,249.3,8.9,132.2,251.1,,131.9,264.2,93.9,,254.88,,133.6,266,,,,,,,,,
0103/014,Dante Building,1600 STOCKTON ST,94133,"1600 STOCKTON ST
San Francisco, CA 94133
(37.80061, -122.409213)",15000,Office,http://propertymap.sfplanning.org/?&search=0103/014,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,57.8,129.7,-12.4,-12.4,62.7,4.2,67.2,139.6,,57.7,126.7,,,59.5,4,61.4,130.6,,49.2,101,-31.8,-31.8,49.3,3.3,54.5,106.5,,81,149.6,1.1,1,80.6,5.4,81.6,150.2,,,,,,,,,,,,,,,,,,
2423/021,San Francisco Chinese Alliance Church,1150 VICENTE ST,94116,"1150 VICENTE ST
San Francisco, CA 94116
(37.739141, -122.479395)",16570,Worship Facility,http://propertymap.sfplanning.org/?&search=2423/021,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,95,14.5,32,-56.8,-56.8,17.2,1,15.4,33,96,13.6,30.4,-59.1,-59.1,15.6,0.9,13.9,30.7,94,14.6,33.3,-54,-54,16.9,1,15.8,34.6,95,16.2,34,-57.1,-57.1,18.9,1.1,15.7,33.5,,,,,,,,,,,,,,,,,,
0161/015,772 PACIFIC AVE,772 PACIFIC AVE,94133,"772 PACIFIC AVE
San Francisco, CA 94133
(37.796766, -122.407972)",15537,Restaurant,http://propertymap.sfplanning.org/?&search=0161/015,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,440.4,631.5,46.2,46.2,405.8,26.1,440.4,631.5,,444.3,642.7,48.8,48.8,403.9,26,444.3,642.7,,3751.8,4109.6,851.2,851.2,3132.1,201.6,3751.8,4109.6,,4084.9,4466.2,933.7,933.7,3408.5,219.4,4084.4,4464.4,,,,,,,,,,,,,,,,,,
1095/005,San Francisco Hospital Campus,2425 GEARY BLVD,94115,"2425 GEARY BLVD
San Francisco, CA 94115
(37.782778, -122.443222)",401090,,http://propertymap.sfplanning.org/?&search=1095/005,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,96,198.6,430,-31.8,-31.8,5439.7,13.6,205.6,437.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
0689/001,1355 Franklin,1355 FRANKLIN ST,94109,"1355 FRANKLIN ST
San Francisco, CA 94109
(37.787067, -122.423372)",15900,Social/Meeting Hall,http://propertymap.sfplanning.org/?&search=0689/001,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Pending,,24.7,43.2,-38.1,-38.1,25.3,1.6,27,45.5,,23.8,42.5,,,23.9,1.5,24.5,43.8,,23.5,40.6,-41.8,-41.8,23.3,1.5,23.5,40.6,,39.1,61.3,-12.3,-12.2,38.4,2.4,39.1,61.3,,,,,,,,,,,,,,,,,,
5587/004,2222 PALOU AVE,2222 PALOU AVE,94124,"2222 PALOU AVE
San Francisco, CA 94124
(37.740818, -122.402418)",44311,Non-Refrigerated Warehouse,http://propertymap.sfplanning.org/?&search=5587/004,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,,,,,,,,,,,,92,14.6,45.8,-61,-61,52.7,1.2,14.6,45.8,95,11.9,37,-67.8,-67.8,42.7,1,11.9,37,97,11.1,34,-72.5,-72.5,39.6,0.9,11.1,34,97,10.6,33.2,-73.2,-73.2,38.2,0.9,10.6,33.2,,,,,,,,,
0351/022,Orpheum Theater,1182 MARKET ST,94102,"1182 MARKET ST
San Francisco, CA 94102
(37.779017, -122.414381)",62534,Office,http://propertymap.sfplanning.org/?&search=0351/022,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2012-11-15T00:00:00,Complied,,,,80.7,189.2,27.8,27.8,395.5,6.3,84.5,193.8,,83.4,202.4,36.7,36.7,396.1,6.3,83.4,202.4,,65.1,158.4,7,7,309.5,4.9,65.1,158.4,,69.1,165.3,11.7,11.7,327.1,5.2,66.2,161.8,,32619,39569.5,47869.1,,161076.99,,30710.9,37260.7,,31677.4,,23326.4,,156424.62,,31677.4,
0296/013C,545 Sutter St.,535 SUTTER ST,94102,"535 SUTTER ST
San Francisco, CA 94102
(37.789158, -122.409267)",19786,Office,http://propertymap.sfplanning.org/?&search=0296/013C,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,14.8,38.3,-74.1,-74.1,20.5,1,14.8,38.3,,16,41.3,-72.1,-72.1,23.4,1.2,16.5,41.9,,14.5,39.4,-73.4,-73.4,21.8,1.1,14.9,39.8,,14.6,41.2,-72.2,-72.2,22.3,1.1,14.6,41.2,,,,,,,,,,,,,,,,,,
3703/076,1019 Market Street,1019 MARKET ST,94103,"1019 MARKET ST
San Francisco, CA 94103
(37.781916, -122.410694)",75523,Office,http://propertymap.sfplanning.org/?&search=3703/076,Violation - Insufficient Data,,Complied,,Complied,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Violation - Did Not Report,,Violation - Did Not Report,,2014-04-01T00:00:00,Exempt - Vacant,,,,,,,,,,,,87,43.1,131.4,-40.7,-40.7,261.3,3.5,43.4,131.7,,25,76,-48.7,-48.7,151.5,2,21,62,,,,,,,,,,,,,,,,,,,,,,,,,,,
0241/014,616 GRANT AVE,616 GRANT AVE,94108,"616 GRANT AVE
San Francisco, CA 94108
(37.793055, -122.406061)",13884,,http://propertymap.sfplanning.org/?&search=0241/014,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0267/003,65 Battery Street,65 BATTERY ST,94104,"65 BATTERY ST
San Francisco, CA 94104
(37.791874, -122.399694)",15406,Office,http://propertymap.sfplanning.org/?&search=0267/003,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,,54.6,171.4,15.8,15.8,63.8,4.1,54.6,171.4,,74.2,233,57.3,57.3,93.2,6,72.7,228.4,,77.4,243,64.1,64.1,97.2,6.3,75.1,235.7,,77.5,243.4,64.4,64.4,97.4,6.3,77.3,242.7,,,,,,,,,,,,,,,,,,
3703/059,1095 Market Street,1095 MARKET ST,94103,"1095 MARKET ST
San Francisco, CA 94103
(37.780676, -122.412286)",60171,,http://propertymap.sfplanning.org/?&search=3703/059,Violation - Did Not Report,,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,Exempt,Exempt - Vacant,2014-04-01T00:00:00,Exempt - Vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.3,,-75.9,,96.02,,26.3,
0316/002,Mason O'Farrell Garage,301 MASON ST,94102,"301 MASON ST
San Francisco, CA 94102
(37.786538, -122.409755)",384169,Parking,http://propertymap.sfplanning.org/?&search=0316/002,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Violation - Insufficient Data,,2013-04-01T00:00:00,Complied,,,,210.1,659.7,,,229,18.2,210.1,659.7,,238,747.5,,,243.8,19.4,238,747.5,,285.9,897.7,,,292.8,23.3,285.9,897.7,,312.1,979.9,,,319.6,25.4,312.1,979.9,,333.6,1114.3,376.6,,380.79,,333.6,1114.3,,,,,,,,,
1068/001J,2900 GEARY BLVD,2900 GEARY BLVD,94118,"2900 GEARY BLVD
San Francisco, CA 94118
(37.782135, -122.450417)",10737,Retail Store,http://propertymap.sfplanning.org/?&search=1068/001J,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,74,54.3,88.3,-29.2,-29.2,36.4,3.4,56.6,90.8,1,323.2,353.5,184.3,184.3,186.4,17.4,323.2,353.5,1,323.8,354.9,193.6,193.6,186.9,17.4,323.8,354.9,1,405.1,460.8,249.2,249.4,237.2,22.1,432.3,489.3,,,,,,,,,,,,,,,,,,
0237/008,230 California,230 CALIFORNIA ST,94111,"230 CALIFORNIA ST
San Francisco, CA 94111
(37.793302, -122.399294)",45574,Office,http://propertymap.sfplanning.org/?&search=0237/008,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,5,172.5,353.1,92,92,543.8,11.9,176.7,357.4,4,177.5,363.4,95,95,539.4,11.8,179.3,365.3,3,186.8,372.5,102.6,102.6,561.5,12.3,189.8,375.6,8,170.9,325.3,72.5,72.5,524.2,11.5,171.2,325.6,,169.9,337.1,149.9,,531.14,,168.1,335.3,,,,,,,,,
0021/001,400 NORTH POINT ST,400 NORTH POINT ST,94133,"400 NORTH POINT ST
San Francisco, CA 94133
(37.806452, -122.414645)",51656,Social/Meeting Hall,http://propertymap.sfplanning.org/?&search=0021/001,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,44.5,81.9,17.3,17.3,86.9,2.7,92.7,5.3,,38.9,78.2,11.9,11.9,81.4,2.6,41.8,82.6,,34,70.9,1.5,1.5,72.3,2.3,40.5,81,,46.7,88.1,26.1,26.1,95.3,3,47.3,88.9,,,,,,,,,,,,,,,,,,
1458/041,Holy Virgin Cathedral,6222 GEARY BLVD,94121,"6222 GEARY BLVD
San Francisco, CA 94121
(37.780084, -122.486329)",16500,Worship Facility,http://propertymap.sfplanning.org/?&search=1458/041,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,73,31.5,49.3,-25.6,-25.6,31.9,1.9,35.9,54.1,80,27.2,44.1,-33.5,-33.5,27.4,1.7,29.5,46.5,83,24.9,40.2,-37.6,-37.6,25,1.5,30.4,47.2,59,41.8,64,-10.1,-10.2,42.1,2.6,41.8,64,,,,,,,,,,,,,,,,,,
0192/004,1009 STOCKTON ST,1009 STOCKTON ST,94108,"1009 STOCKTON ST
San Francisco, CA 94108
(37.7951, -122.408124)",15000,Worship Facility,http://propertymap.sfplanning.org/?&search=0192/004,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,99,8,13.7,-70,-70,7.7,0.5,8,13.7,99,8.1,14.3,-70.9,-70.9,7.6,0.5,8.1,14.3,98,8.8,16.1,-65.3,-65.3,8.4,0.6,8.8,16.1,98,9.4,16.8,-66.8,-66.8,8.9,0.6,9.4,16.8,,,,,,,,,,,,,,,,,,
0349/013,133 GOLDEN GATE AVE,133 GOLDEN GATE AVE,94102,"133 GOLDEN GATE AVE
San Francisco, CA 94102
(37.781988, -122.412886)",10120,,http://propertymap.sfplanning.org/?&search=0349/013,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0327/004,39 STOCKTON ST,39 STOCKTON ST,94102,"39 STOCKTON ST
San Francisco, CA 94102
(37.786222, -122.406327)",11469,,http://propertymap.sfplanning.org/?&search=0327/004,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - Change of Ownership,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3594/011,3320 20TH ST,3320 20TH ST,94110,"3320 20TH ST
San Francisco, CA 94110
(37.758861, -122.415262)",43239,,http://propertymap.sfplanning.org/?&search=3594/011,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144/001B,222 STANYAN ST,222 STANYAN ST,94118,"222 STANYAN ST
San Francisco, CA 94118
(37.776655, -122.45505)",133570,,http://propertymap.sfplanning.org/?&search=1144/001B,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,2013-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0293/001,211 Sutter Street Partners LLC,211 SUTTER ST,94108,"211 SUTTER ST
San Francisco, CA 94108
(37.789786, -122.404079)",39933,Mixed Use Property,http://propertymap.sfplanning.org/?&search=0293/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,2013-04-01T00:00:00,Complied,2018-04-01T00:00:00,Upcoming,,83.2,161.3,9,9,224,5.6,82.7,159.8,,83,161.1,8.8,8.8,216.2,5.4,82.4,159.4,,76.7,152.8,3.2,3.2,202,5.1,76.7,152.8,,49,51.5,-65.2,-65.2,104,2.6,49.4,51.8,,74.1,126.2,8.9,,169.41,,73.3,130.2,,,,,,,,,
0872/002,1930 MARKET ST,1930 MARKET ST,94102,"1930 MARKET ST
San Francisco, CA 94102
(37.770303, -122.42552)",16203,Medical Office,http://propertymap.sfplanning.org/?&search=0872/002,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Complied,,,73,33.2,102.2,-28.6,-28.6,42.2,2.8,33.3,102.4,62,40.6,123.6,-14.6,-14.6,48.2,3.3,40.9,123.9,57,43.7,132.1,-8.4,-8.4,51.7,3.5,43.7,132.1,66,40.2,122,-20.6,-20.6,47.7,3.2,39.8,121.6,,,,,,,,,,,,,,,,,,
0271/001B,625 PINE ST,625 PINE ST,94108,"625 PINE ST
San Francisco, CA 94108
(37.791452, -122.406179)",12756,,http://propertymap.sfplanning.org/?&search=0271/001B,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,2014-04-01T00:00:00,Did Not Comply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0326/011,Hotel Nikko,222 MASON ST,94102,"222 MASON ST
San Francisco, CA 94102
(37.785613, -122.409575)",618958,Hotel,http://propertymap.sfplanning.org/?&search=0326/011,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Exempt - ENERGY STAR,2018-04-01T00:00:00,Upcoming,68,83.7,153.1,-15.5,-15.5,3112.6,5.6,83.7,153.1,59,89.9,166.3,-8.2,-8.2,3286.4,5.9,89.9,166.3,58,77.8,166.1,-6.9,-6.9,3143.2,5.6,77.8,166.1,65,71.1,162.6,-13.5,-13.5,2886.6,5.2,71.1,162.6,90,58,134,-38.5,,3229.2,,58.1,134.2,81,61.9,,-28.2,,3415.92,,61.9,
0235/009,20 California Street,20 CALIFORNIA ST,94111,"20 CALIFORNIA ST
San Francisco, CA 94111
(37.793648, -122.39695)",58383,,http://propertymap.sfplanning.org/?&search=0235/009,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Complied,,Complied,,Complied,,2013-04-01T00:00:00,Complied,,,,,,,,,,,,,,,,,,,,,93,22.9,72,-51.3,-51.3,109.2,1.9,22.9,72,76,39.7,124.7,-28.3,-28.3,189,3.2,39.7,124.7,77,31,97.3,-28.7,-28.7,147.5,2.5,31,97.3,,,,,,,,,
